Carimbo de data/hora;Neologismo;Classe gramatical;Tipologia;Elaborado por:;Contexto 1;Fonte 1;Contexto 2;Fonte 2;Contexto 3;Fonte 3
13/09/2024 17:06;e-consumidor;substantivo masculino;formação com splinter;Geideane Rodrigues Teixeira;“Analisando o comportamento do e-consumidor brasileiro, é possível dizer que ele está disposto a consumir nesse tipo de evento e se engaja nos movimentos online” Leia mais em;https://veja.abril.com.br/economia/intencao-de-compra-no-dia-do-consumidor-cresce-18-aponta-pesquisa/;Aqui no Brasil as vendas de audiobooks acompanharão o amadurecimento do e-consumidor e os recordes de utilização de smartphones, propiciando a entrada de um novo público, consumidores de livros narrados;https://www.terra.com.br/noticias/dino/auti-books-apresenta-nova-forma-de-consumir-livros,ef269fbc837e0feffd1545f555e7810a7r0z85j2.html?utm_source=clipboard;A extensão Sac 2.0 - Relações Públicas e Pós-Venda na Era do E-Consumidor abordará a gestão das novas tecnologias em pós-venda, atendimento e relacionamento com clientes, em especial o novo consumidor da internet;https://www.baguete.com.br/noticias/02/05/2013/puc-tem-curso-de-modelos-de-negocios-inovadores
14/09/2024 11:23;quiet hiring;substantivo masculino;empréstimo;Julia;"Quiet hiring"", ou contratação silenciosa, é a prática de os empregadores preencherem necessidades ou lacunas no local de trabalho sem realmente contratar novas pessoas";https://epocanegocios.globo.com/futuro-do-trabalho/noticia/2023/06/demissao-silenciosa-resenteeism-e-mais-10-tendencias-profissionais-que-viralizaram-no-tiktok.ghtml;Como resultado, as formas como as organizações tradicionalmente reconhecem os colaboradores – tais como promoções de emprego e aumentos salariais – podem já não ter o impacto que tiveram antes. Diante de movimentos concretos como o quiet quitting, o quiet hiring e o the great attriction, cientes de que salários, promoções e benefícios básicos não são mais suficientes para manter um talento;https://uoledtech.com.br/blog/saude-mental-alerta-vermelho-dentro-das-empresas-brasileiras;"Enquanto 2022 foi um ano marcado pelo termo ""quiet quitting"", 2023 viu surgir o ""quiet hiring"". Enquanto o primeiro trata da estratégia adotada por alguns funcionários de fazer apenas o básico no trabalho, o segundo é uma ação do empregador";https://epocanegocios.globo.com/futuro-do-trabalho/noticia/2023/12/loud-quitting-lazy-girls-jobs-e-mais-tendencias-que-marcaram-o-mercado-de-trabalho-em-2023.ghtml
22/01/2025 14:26;Revogaço;substantivo masculino;derivação sufixal;Ana Letícia;O 'revogaço' de atos editados pelo ex-presidente Jair Bolsonaro anunciado pelo presidente da República, Luiz Inácio Lula da Silva, já é oficial;https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2023/01/02/publicados-11-decretos-com-revogaco-de-lula-lista-inclui-regulamento-de-armas.htm;"À BBC News Brasil, a ministra do Meio Ambiente, Marina Silva, disse que, nos próximos dias, mais ""revogaços"" devem ser publicados. Na mira do novo governo estão a revogação de medidas com a que criou a necessidade de se realizar uma audiência de conciliação entre os órgãos de fiscalização federais e os infratores ambientais";https://www.bbc.com/portuguese/brasil-64142127.amp;Revogaço em início de gestão tem um precedente internacional que inspira o futuro governo. Horas depois de tomar posse como presidente dos Estados Unidos, Joe Biden assinou 17 medidas que alteraram políticas adotadas no governo Donald Trump;https://www.cnnbrasil.com.br/politica/revogaco-de-medidas-adotadas-por-bolsonaro-esbarra-no-congresso/
22/01/2025 14:32;Startupismo;substantivo masculino;dois processos (especificar na nota);Ana Letícia;Porém, aqui no Brasil o “startupismo” (termo que remete ao ato de participar/fomentar movimentos de startups), acontece de maneiras diferentes e, muitas vezes, o “startupeiro” (como são chamadas as pessoas que trabalham em startups), não possui conhecimento necessário do negócio ou, até mesmo, fundamentação da ideia, ou ainda, não tem capacidade técnica para criar algo disruptivo;https://olhardigital.com.br/2019/06/22/noticias/startupismo-no-mundo-real/;Poderíamos fundar uma nova religião: o startupismo. (...) Não tem multiplicação de pães, mas tem crescimento exponencial na venda dos produtos e a escalabilidade é o nirvana para os discípulos do startupismo, ainda mais se seu software estiver na nuvem do céu, a salvo dos hackers infiéis;https://es360.com.br/coluna-inovacao/a-dois-passos-do-paraiso-a-religiao-das-startups;Em meio ao notável crescimento do empreendedorismo observado nos últimos anos, e um certo desapreço das gerações Y e Z pelas relações trabalhistas clássicas, com patrão e empregado, o startupismo, mais do que uma tendência, tornou-se uma filosofia de gestão indispensável para quem busca inovar e se destacar no mercado atual;https://www.piresadvogados.com.br/todas-artigos/908-a-responsabilidade-dos-socios-administradores-pelas-obrigacoes-da-empresa-em-tempos-de-startupismo
07/02/2025 16:15;wokismo;substantivo masculino;dois processos (especificar na nota);Matheus Lima Jardim;Professores e especialistas alertam para um fenômeno crescente de homogeneização ideológica nos campi, impulsionado pelo avanço do wokismo, substituindo o debate por militância e a ciência pela fé dogmática em causas identitárias;https://www.gazetadopovo.com.br/vida-e-cidadania/wokismo-uma-religiao-academica-como-as-universidades-publicas-se-renderam-ao-pensamento-unico/;“Há uma consciência crescente sobre a existência do Wokismo. Multiplicam-se associações e iniciativas contra este movimento. Estou convencida de que, como qualquer ideologia, esta ideologia entrará em colapso”, detalhou Ludovine de La Rochère durante a sua apresentação, que terminou sob aplausos;https://oantagonista.com.br/mundo/na-franca-militantes-protestam-contra-palestra-sobre-wokismo/#google_vignette;O wokismo começou com causas justas – justiça racial, igualdade de género, respeito pela diversidade. E, talvez por isso, conquistou tanta simpatia inicial;https://observador.pt/opiniao/porque-e-que-o-wokismo-esta-a-afundar-se/
08/02/2023 21:38;Dolarizar;verbo;derivação sufixal;;Por que dolarizar sua carteira;https://g1.globo.com/se/sergipe/especial-publicitario/real-invest/celebracao-10-anos-da-real-invest/noticia/2021/08/19/por-que-dolarizar-sua-carteira.ghtml;Projeto de reforma cambial abre caminho para dolarizar a economia brasileira em meio a altas históricas da moeda americana frente ao real, que pode levar à instabilidade monetária do país;https://g1.globo.com/economia/noticia/2021/03/11/flexibilizacao-de-contas-em-dolar-no-brasil-e-fria-monumental-diz-ex-economista-do-fmi.ghtml;Alta de juros nos EUA: é hora de dolarizar seus investimentos;https://forbes.com.br/forbes-money/2022/01/alta-de-juros-nos-eua-e-hora-de-dolarizar-seus-investimentos/
09/02/2023 11:19;Desnazificar;verbo;derivação prefixal e sufixal;;"'O Brasil tem o desafio de desnazificar a sociedade', afirma Silvio Almeida""";https://cultura.uol.com.br/noticias/53871_o-brasil-tem-o-desafio-de-desnazificar-a-sociedade-afirma-silvio-almeida.html;"Para desnazificar o “gigante”""";https://diplomatique.org.br/para-desnazificar-o-gigante/;"...ex-república soviética, palco há quase um ano de uma ofensiva russa lançada, segundo o Kremlin, para ""desmilitarizar"" e ""desnazificar"" o país vizinho.""";https://www.folhape.com.br/noticias/russia-comemora-80-anos-da-vitoria-de-stalingrado/256669/
09/02/2023 11:23;Desmonetizar;verbo;derivação prefixal;;"Justiça decide que Google agiu bem ao desmonetizar Monark no YouTube""";https://noticias.uol.com.br/colunas/rogerio-gentile/2023/02/01/justica-decide-que-google-agiu-bem-ao-desmonetizar-monark-no-youtube.htm?cmpid=copiaecola;"YouTube decide desmonetizar canais da Jovem Pan por violação das políticas""";https://www.em.com.br/app/noticia/nacional/2022/11/23/interna_nacional,1424983/youtube-decide-desmonetizar-canais-da-jovem-pan-por-violacao-das-politicas.shtml;"YouTube diz que fará ajustes na política de desmonetizar vídeos com palavrões""";https://epocanegocios.globo.com/tecnologia/noticia/2023/01/youtube-diz-que-fara-ajustes-na-politica-de-desmonetizar-videos-com-palavroes.ghtml
09/02/2023 11:30;Reusar;verbo;derivação prefixal;;"O segredo desta máquina que vende água: lavar e reusar as garrafas""";https://fastcompanybrasil.com/impacto/o-segredo-desta-maquina-que-vende-agua-lavar-e-reusar-as-garrafas/;"Eventualmente, se for REUSAR a garrafa, a recomendação é lavá-la com detergente neutro e verificar se há algum dano no material”, elucida o biomédico.""";https://www.em.com.br/app/noticia/saude-e-bem-viver/2023/02/08/interna_bem_viver,1454882/biomedico-esclarece-perigos-e-mitos-de-reutilizar-garrafas-pet-com-bebidas.shtml;"Disparada faz vendedor reusar óleo e subir preço de pastel e churros""";https://economia.uol.com.br/noticias/redacao/2022/05/13/comerciantes-lidam-com-alta-do-oleo.htm?cmpid=copiaecola
09/02/2023 11:45;Ucranizar;verbo;derivação sufixal;;"“Desnazificar” a Ucrânia em putinês, pode ser traduzido para DES-UCRANIZAR, isto é, depurá-la de elementos patrióticos e reintegrá-la manu militare à Grande Rússia – Bruno Cava""";https://ihu.unisinos.br/625507-a-inexistencia-de-um-espaco-para-reinvencao-democratica-uma-analise-nacional-e-internacional-entrevista-especial-com-bruno-cava;"Bolsonaristas queriam ‘ucranizar o Brasil’, mas tiveram que engolir Putin""";https://theintercept.com/2022/02/26/bolsonaristas-queriam-ucranizar-brasil-tiveram-engolir-putin/;"“Provavelmente, [o motivo da briga] seja o pessoal ligado ao neonazismo, que acabaram começando, levando a esse tumulto”. Mas o desejo de 'UCRANIZAR' o Brasil não começou na avenida Paulista.""";https://brasil.elpais.com/brasil/2020-06-02/explicito-nas-ruas-bolsonarismo-neofascista-se-inspira-em-extremismo-e-anticomunismo-da-ucrania.html
